235;17;$300 y tickets;2002;;1.0
514;33;$windle;2002;5.4;13.0
541;33;$windle;2002;5.4;3.0
568;33;$windle;2002;5.4;10.0
609;36;'15';2002;6.8;0.0
613;36;'15';2002;6.8;1.0
830;47;'88 Dodge Aries;2002;;2.0
831;47;'88 Dodge Aries;2002;;1.0
1189;57;'Ang Galing galing mo, Babes';2002;;7.0
2361;161;'Metal Gear Solid 2: Sons of Liberty' - Making of the Hollywood Game;2002;;0.0
2469;175;'n stukje humor;2002;;
2584;182;'N Sync: PopOdyssey Live;2002;;
3187;249;'Sunset Blvd.': A Look Back;2002;;0.0
3192;249;'Sunset Blvd.': A Look Back;2002;;1.0
3328;262;'Til Death Do Us Part;2002;;16.0
3956;280;'Twas the Night;2002;;
6302;305;(A);2002;;7.0
6312;305;(A);2002;;1.0
6343;310;(Entre nous);2002;;7.0
6654;329;*Corpus Callosum;2002;4.9;7.0
8737;448;...Sub clar de luna;2002;;2.0
9221;484;...viele Grsse, Rank;2002;;1.0
9525;509;.com for Murder;2002;3.6;10.0
9535;510;.hack//Akusei heni vol. 2;2002;;13.0
9605;510;.hack//Akusei heni vol. 2;2002;;19.0
9675;510;.hack//Akusei heni vol. 2;2002;;6.0
9745;510;.hack//Akusei heni vol. 2;2002;;15.0
10191;515;.hack//Osen kadukai vol. 1;2002;;13.0
10248;515;.hack//Osen kadukai vol. 1;2002;;19.0
10305;515;.hack//Osen kadukai vol. 1;2002;;6.0
10362;515;.hack//Osen kadukai vol. 1;2002;;14.0
10419;516;.hack//Outbreak;2002;;13.0
10489;516;.hack//Outbreak;2002;;19.0
10559;516;.hack//Outbreak;2002;;6.0
10629;516;.hack//Outbreak;2002;;15.0
11677;563;1 Giant Leap;2002;6.4;0.0
11748;572;1 na 1;2002;5.9;
12343;628;10 minuta;2002;8.0;1.0
12844;650;10 Years of Heartbeat;2002;;0.0
12884;656;10,000 Black Men Named George;2002;;7.0
13167;677;100 Days in the Jungle;2002;;
14573;701;100 kilos de plomo;2002;;13.0
14609;707;100 Mile Rule;2002;5.6;2.0
14724;716;100 Sexiest Artists;2002;;0.0
14736;716;100 Sexiest Artists;2002;;12.0
16972;895;10:30 Check-Out;2002;;3.0
16979;895;10:30 Check-Out;2002;;7.0
16986;895;10:30 Check-Out;2002;;1.0
17155;908;11 de septiembre (2002/I);2002;;1.0
17323;921;11'09''01 - September 11;2002;6.9;7.0
17845;924;11.09. - Verbrechen gegen die Menschheit;2002;;0.0
17847;926;110 Stories;2002;;0.0
18891;1020;12:35;2002;8.2;7.0
19041;1029;13 Erotic Ghosts;2002;3.1;14.0
19591;1046;13 Moons;2002;5.8;2.0
19852;1052;13 vies du chat Lelouch, Les;2002;;0.0
20084;1072;13th Child;2002;4.2;16.0
20095;1072;13th Child;2002;4.2;9.0
20106;1072;13th Child;2002;4.2;10.0
21119;1141;15 Jahre;2002;;1.0
21498;1153;15 to Life;2002;;
21685;1178;16 December;2002;7.2;13.0
21693;1178;16 December;2002;7.2;9.0
21701;1178;16 December;2002;7.2;1.0
21800;1184;16f9;2002;;1.0
21805;1187;16th Annual Aria Music Awards, The;2002;;12.0
21833;1189;16th Annual Soul Train Music Awards, The;2002;;5.0
21849;1189;16th Annual Soul Train Music Awards, The;2002;;12.0
22214;1215;17th Annual Gemini Awards;2002;;
22287;1223;18 & Willing;2002;;11.0
22355;1228;18 and Eager to Please;2002;;
22439;1261;18 and Nasty 27;2002;;11.0
22448;1262;18 and Nasty 28;2002;;11.0
22456;1265;18 and Nasty 30;2002;;11.0
22465;1266;18 and Nasty 31;2002;;11.0
22472;1267;18 and Nasty 32;2002;;11.0
22479;1268;18 and Nasty 33;2002;;11.0
22522;1280;18 and Nasty Interracial;2002;;11.0
22547;1283;18 and Nasty Interracial 2;2002;;11.0
22558;1284;18 and Nasty Interracial 3;2002;;11.0
22567;1285;18 and Nasty Interracial 4;2002;;11.0
23863;1317;1800 Seconds: Chasing Canada's Snowbirds;2002;;0.0
23890;1320;180: Christopher Nolan Interviews Al Pacino;2002;;0.0
23892;1320;180: Christopher Nolan Interviews Al Pacino;2002;;1.0
24202;1361;19 Months;2002;5.0;2.0
26982;1506;2;2002;;3.0
26987;1506;2;2002;;1.0
26992;1506;2;2002;;10.0
27260;1531;2 Flschchen;2002;;
27783;1596;2+2;2002;;1.0
27865;1609;20 ans aprs;2002;;0.0
27869;1612;20 aos;2002;;1.0
28223;1630;20 Questions;2002;;1.0
28293;1636;20 Years of Must See TV;2002;;
28299;1638;20, avenue Parmentier;2002;;
28719;1660;20/20;2002;;
28946;1667;2000 & 1 Night;2002;;0.0
30119;1708;2001 TV Moments;2002;;
30542;1717;2002 ABC World Stunt Awards;2002;;
30562;1718;2002 ALMA Awards;2002;;
30563;1719;2002 Billboard Music Awards, The;2002;;12.0
30564;1720;2002 Blockbuster Hollywood Christmas Spectacular, The;2002;;5.0
30570;1722;2002 IFP/West Independent Spirit Awards Nomination Show, The;2002;;1.0
30571;1723;2002 IFP/West Independent Spirit Awards, The;2002;;
30585;1724;2002 iflge Brixtofte;2002;;0.0
30587;1724;2002 iflge Brixtofte;2002;;1.0
30589;1725;2002 MTV Movie Awards;2002;;
30631;1726;2002 Much Music Video Music Awards;2002;;12.0
30659;1727;2002 Olympic Games Figure Skating Competition/Exhibition, The;2002;;5.0
30675;1728;2002 Television Party of the Year;2002;;
30678;1729;2002 Top of the Pops Awards;2002;;5.0
30708;1729;2002 Top of the Pops Awards;2002;;12.0
30738;1730;2002 World Series;2002;;0.0
30790;1730;2002 World Series;2002;;5.0
